,game,model,experiment,episode,metric,value
0,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_0,Aborted,0.0
1,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_0,Lose,1.0
2,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_0,Success,0.0
3,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_0,Request Count,6.0
4,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_0,Parsed Request Count,6.0
5,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_0,Violated Request Count,0.0
6,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_0,Request Success Ratio,1.0
7,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_0,Main Score,0.0
8,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_0,repeats guess,0.0
9,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_0,total guess repetitions,0.0
10,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_1,Aborted,0.0
11,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_1,Lose,0.0
12,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_1,Success,1.0
13,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_1,Request Count,2.0
14,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_1,Parsed Request Count,2.0
15,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_1,Violated Request Count,0.0
16,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_1,Request Success Ratio,1.0
17,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_1,Main Score,100.0
18,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_1,repeats guess,0.0
19,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_1,total guess repetitions,0.0
20,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_2,Aborted,0.0
21,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_2,Lose,0.0
22,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_2,Success,1.0
23,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_2,Request Count,4.0
24,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_2,Parsed Request Count,4.0
25,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_2,Violated Request Count,0.0
26,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_2,Request Success Ratio,1.0
27,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_2,Main Score,50.0
28,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_2,repeats guess,0.0
29,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_2,total guess repetitions,0.0
30,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_3,Aborted,0.0
31,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_3,Lose,1.0
32,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_3,Success,0.0
33,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_3,Request Count,8.0
34,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_3,Parsed Request Count,8.0
35,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_3,Violated Request Count,0.0
36,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_3,Request Success Ratio,1.0
37,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_3,Main Score,0.0
38,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_3,repeats guess,0.0
39,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_3,total guess repetitions,0.0
40,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_4,Aborted,0.0
41,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_4,Lose,0.0
42,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_4,Success,1.0
43,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_4,Request Count,7.0
44,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_4,Parsed Request Count,7.0
45,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_4,Violated Request Count,0.0
46,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_4,Request Success Ratio,1.0
47,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_4,Main Score,20.0
48,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_4,repeats guess,0.0
49,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_4,total guess repetitions,0.0
50,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_5,Aborted,0.0
51,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_5,Lose,1.0
52,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_5,Success,0.0
53,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_5,Request Count,7.0
54,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_5,Parsed Request Count,7.0
55,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_5,Violated Request Count,0.0
56,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_5,Request Success Ratio,1.0
57,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_5,Main Score,0.0
58,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_5,repeats guess,0.0
59,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_5,total guess repetitions,0.0
60,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_6,Aborted,0.0
61,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_6,Lose,1.0
62,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_6,Success,0.0
63,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_6,Request Count,6.0
64,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_6,Parsed Request Count,6.0
65,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_6,Violated Request Count,0.0
66,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_6,Request Success Ratio,1.0
67,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_6,Main Score,0.0
68,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_6,repeats guess,1.0
69,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_6,total guess repetitions,1.0
70,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_7,Aborted,0.0
71,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_7,Lose,1.0
72,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_7,Success,0.0
73,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_7,Request Count,6.0
74,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_7,Parsed Request Count,6.0
75,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_7,Violated Request Count,0.0
76,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_7,Request Success Ratio,1.0
77,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_7,Main Score,0.0
78,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_7,repeats guess,0.0
79,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_7,total guess repetitions,0.0
80,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_8,Aborted,0.0
81,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_8,Lose,1.0
82,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_8,Success,0.0
83,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_8,Request Count,6.0
84,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_8,Parsed Request Count,6.0
85,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_8,Violated Request Count,0.0
86,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_8,Request Success Ratio,1.0
87,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_8,Main Score,0.0
88,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_8,repeats guess,0.0
89,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_8,total guess repetitions,0.0
90,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_9,Aborted,1.0
91,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_9,Lose,0.0
92,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_9,Success,0.0
93,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_9,Request Count,3.0
94,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_9,Parsed Request Count,2.0
95,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_9,Violated Request Count,1.0
96,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_9,Request Success Ratio,0.67
97,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_9,Main Score,
98,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_9,repeats guess,
99,wordle,0_gemma-3-27b,0_high_frequency_words_no_clue_no_critic,episode_9,total guess repetitions,
100,wordle,0_gemma-3-27b,1_medium_frequency_words_no_clue_no_critic,episode_0,Aborted,0.0
101,wordle,0_gemma-3-27b,1_medium_frequency_words_no_clue_no_critic,episode_0,Lose,1.0
102,wordle,0_gemma-3-27b,1_medium_frequency_words_no_clue_no_critic,episode_0,Success,0.0
103,wordle,0_gemma-3-27b,1_medium_frequency_words_no_clue_no_critic,episode_0,Request Count,7.0
104,wordle,0_gemma-3-27b,1_medium_frequency_words_no_clue_no_critic,episode_0,Parsed Request Count,7.0
105,wordle,0_gemma-3-27b,1_medium_frequency_words_no_clue_no_critic,episode_0,Violated Request Count,0.0
106,wordle,0_gemma-3-27b,1_medium_frequency_words_no_clue_no_critic,episode_0,Request Success Ratio,1.0
107,wordle,0_gemma-3-27b,1_medium_frequency_words_no_clue_no_critic,episode_0,Main Score,0.0
108,wordle,0_gemma-3-27b,1_medium_frequency_words_no_clue_no_critic,episode_0,repeats guess,0.0
109,wordle,0_gemma-3-27b,1_medium_frequency_words_no_clue_no_critic,episode_0,total guess repetitions,0.0
110,wordle,0_gemma-3-27b,1_medium_frequency_words_no_clue_no_critic,episode_1,Aborted,0.0
111,wordle,0_gemma-3-27b,1_medium_frequency_words_no_clue_no_critic,episode_1,Lose,1.0
112,wordle,0_gemma-3-27b,1_medium_frequency_words_no_clue_no_critic,episode_1,Success,0.0
113,wordle,0_gemma-3-27b,1_medium_frequency_words_no_clue_no_critic,episode_1,Request Count,7.0
114,wordle,0_gemma-3-27b,1_medium_frequency_words_no_clue_no_critic,episode_1,Parsed Request Count,7.0
115,wordle,0_gemma-3-27b,1_medium_frequency_words_no_clue_no_critic,episode_1,Violated Request Count,0.0
116,wordle,0_gemma-3-27b,1_medium_frequency_words_no_clue_no_critic,episode_1,Request Success Ratio,1.0
117,wordle,0_gemma-3-27b,1_medium_frequency_words_no_clue_no_critic,episode_1,Main Score,0.0
118,wordle,0_gemma-3-27b,1_medium_frequency_words_no_clue_no_critic,episode_1,repeats guess,0.0
119,wordle,0_gemma-3-27b,1_medium_frequency_words_no_clue_no_critic,episode_1,total guess repetitions,0.0
120,wordle,0_gemma-3-27b,1_medium_frequency_words_no_clue_no_critic,episode_10,Aborted,0.0
121,wordle,0_gemma-3-27b,1_medium_frequency_words_no_clue_no_critic,episode_10,Lose,0.0
122,wordle,0_gemma-3-27b,1_medium_frequency_words_no_clue_no_critic,episode_10,Success,1.0
123,wordle,0_gemma-3-27b,1_medium_frequency_words_no_clue_no_critic,episode_10,Request Count,10.0
124,wordle,0_gemma-3-27b,1_medium_frequency_words_no_clue_no_critic,episode_10,Parsed Request Count,10.0
125,wordle,0_gemma-3-27b,1_medium_frequency_words_no_clue_no_critic,episode_10,Violated Request Count,0.0
126,wordle,0_gemma-3-27b,1_medium_frequency_words_no_clue_no_critic,episode_10,Request Success Ratio,1.0
127,wordle,0_gemma-3-27b,1_medium_frequency_words_no_clue_no_critic,episode_10,Main Score,20.0
128,wordle,0_gemma-3-27b,1_medium_frequency_words_no_clue_no_critic,episode_10,repeats guess,0.0
129,wordle,0_gemma-3-27b,1_medium_frequency_words_no_clue_no_critic,episode_10,total guess repetitions,0.0
130,wordle,0_gemma-3-27b,1_medium_frequency_words_no_clue_no_critic,episode_11,Aborted,1.0
131,wordle,0_gemma-3-27b,1_medium_frequency_words_no_clue_no_critic,episode_11,Lose,0.0
132,wordle,0_gemma-3-27b,1_medium_frequency_words_no_clue_no_critic,episode_11,Success,0.0
133,wordle,0_gemma-3-27b,1_medium_frequency_words_no_clue_no_critic,episode_11,Request Count,6.0
134,wordle,0_gemma-3-27b,1_medium_frequency_words_no_clue_no_critic,episode_11,Parsed Request Count,5.0
135,wordle,0_gemma-3-27b,1_medium_frequency_words_no_clue_no_critic,episode_11,Violated Request Count,1.0
136,wordle,0_gemma-3-27b,1_medium_frequency_words_no_clue_no_critic,episode_11,Request Success Ratio,0.83
137,wordle,0_gemma-3-27b,1_medium_frequency_words_no_clue_no_critic,episode_11,Main Score,
138,wordle,0_gemma-3-27b,1_medium_frequency_words_no_clue_no_critic,episode_11,repeats guess,
139,wordle,0_gemma-3-27b,1_medium_frequency_words_no_clue_no_critic,episode_11,total guess repetitions,
140,wordle,0_gemma-3-27b,1_medium_frequency_words_no_clue_no_critic,episode_12,Aborted,0.0
141,wordle,0_gemma-3-27b,1_medium_frequency_words_no_clue_no_critic,episode_12,Lose,1.0
142,wordle,0_gemma-3-27b,1_medium_frequency_words_no_clue_no_critic,episode_12,Success,0.0
143,wordle,0_gemma-3-27b,1_medium_frequency_words_no_clue_no_critic,episode_12,Request Count,6.0
144,wordle,0_gemma-3-27b,1_medium_frequency_words_no_clue_no_critic,episode_12,Parsed Request Count,6.0
145,wordle,0_gemma-3-27b,1_medium_frequency_words_no_clue_no_critic,episode_12,Violated Request Count,0.0
146,wordle,0_gemma-3-27b,1_medium_frequency_words_no_clue_no_critic,episode_12,Request Success Ratio,1.0
147,wordle,0_gemma-3-27b,1_medium_frequency_words_no_clue_no_critic,episode_12,Main Score,0.0
148,wordle,0_gemma-3-27b,1_medium_frequency_words_no_clue_no_critic,episode_12,repeats guess,0.0
149,wordle,0_gemma-3-27b,1_medium_frequency_words_no_clue_no_critic,episode_12,total guess repetitions,0.0
